School,ID,CoNo,StNo,Long,Lat,Low,High,Students
ARTHUR T. CUMMINGS ELEMENTARY SCHOOL,2.51317E+11,25,25,-70.9855,42.3774,3,5,451
ARTHUR W COOLIDGE MIDDLE,2.50999E+11,17,25,-71.1131,42.5377,6,8,449
ASHBY ELEMENTARY,2.50879E+11,17,25,-71.8233,42.6789,0,4,217
ASHFIELD MIDDLE SCHOOL,2.50309E+11,23,25,-70.9951,42.1027,6,8,469
ASHLAND HIGH,2.5021E+11,17,25,-71.4459,42.2609,9,12,738
ASHLAND MIDDLE,2.5021E+11,17,25,-71.4745,42.2514,6,8,538
ASSABET VALLEY VOCATIONAL HIGH SCHOOL,2.50211E+11,17,25,-71.5669,42.3682,9,12,1026
ASSAWOMPSET ELEMENTARY SCHOOL,2.50507E+11,23,25,-70.9464,41.8476,0,3,484
ATHERTON HOUGH,2.50987E+11,21,25,-70.9575,42.2667,0,5,291
ATHOL HIGH,2.50216E+11,27,25,-72.2045,42.5827,9,12,378
ATHOL-ROYALSTON MIDDLE SCHOOL,2.50216E+11,27,25,-72.2162,42.5741,5,8,420
ATKINSON,2.5087E+11,9,25,-71.1231,42.6895,-1,5,519
ATLANTIC MIDDLE,2.50987E+11,21,25,-71.0249,42.2777,6,8,488
ATLANTIS CHARTER SCHOOL,2.50004E+11,5,25,-71.1829,41.6753,0,8,794
ATTLEBORO HIGH,2.50219E+11,5,25,-71.3016,41.9386,9,12,1688
AUBURN MIDDLE,2.50222E+11,27,25,-71.8411,42.2069,6,8,593
AUBURN SENIOR HIGH,2.50222E+11,27,25,-71.8369,42.2084,9,12,689
AVERY,2.50405E+11,21,25,-71.157,42.2485,1,5,299
AVON MIDDLE HIGH SCHOOL,2.50225E+11,21,25,-71.0428,42.1291,7,12,340
AYER SHIRLEY REGIONAL HIGH SCHOOL,2.50054E+11,17,25,-71.5763,42.568,9,12,325
AYER SHIRLEY REGIONAL MIDDLE SCHOOL,2.50054E+11,17,25,-71.6411,42.5463,6,8,411
AYERS/RYAL SIDE SCHOOL,2.50264E+11,9,25,-70.8899,42.5513,0,5,492
B B RUSSELL ALTERNATIVE SCHOOL,2.50309E+11,23,25,-71.023,42.0825,6,12,64
B M C DURFEE HIGH,2.50483E+11,5,25,-71.1301,41.7153,9,12,2253
B.F.BUTLER MIDDLE SCHOOL,2.50702E+11,17,25,-71.3047,42.625,5,8,559
BALCH,2.50906E+11,21,25,-71.2057,42.177,1,5,275
BALDWIN EARLY LEARNING CENTER,2.50279E+11,25,25,-71.1405,42.342,-1,1,160
BALDWINVILLE ELEMENTARY,2.50828E+11,27,25,-72.0752,42.605,2,4,201
BALLARD SCHOOL,2.5105E+11,9,25,-70.9902,42.4533,-1,-1,99
BALLIET MIDDLE SCHOOL,2.51113E+11,13,25,-72.5283,42.1254,6,8,59
BANCROFT ELEMENTARY,2.50195E+11,9,25,-71.1256,42.6371,0,5,479
BARBIERI ELEMENTARY,2.50498E+11,17,25,-71.4323,42.2794,0,5,632
BARNSTABLE COMMUNITY HORACE MANN CHARTER PUBLIC SC,2.50008E+11,1,25,-70.2943,41.6554,0,3,294
BARNSTABLE HIGH,2.50231E+11,1,25,-70.3207,41.6546,8,12,1904
BARNSTABLE INTERMEDIATE SCHOOL,2.50231E+11,1,25,-70.3209,41.6587,6,7,760
BARNSTABLE UNITED ELEMENTARY SCHOOL,2.50231E+11,1,25,-70.3895,41.6618,4,5,767
BARRETT RUSSELL SCHOOL,2.50309E+11,23,25,-71.0283,42.0893,0,0,258
BARRY,2.50366E+11,13,25,-72.5881,42.1663,0,5,453
BARTLETT COMMUNITY PARTNERSHIP,2.50702E+11,17,25,-71.3288,42.6455,-1,8,542
BARTLETT JR SR HIGH SCHOOL,2.51224E+11,27,25,-71.8687,42.0431,7,12,788
BARTLETT KINDERGARTEN CENTER,2.50597E+11,9,25,-71.1011,42.7672,0,0,146
BATES,2.51038E+11,9,25,-70.9058,42.5348,0,5,300
BAY PATH REGIONAL VOCATIONAL TECHNICAL HIGH SCHOOL,2.51105E+11,27,25,-71.9572,42.1338,9,12,1104
BAYSTATE ACADEMY CHARTER PUBLIC SCHOOL,2.50055E+11,13,25,-72.5895,42.1139,6,7,161
BEACHMONT VETERANS MEMORIAL SCHOOL,2.51005E+11,25,25,-70.9923,42.395,-1,5,395
BEAL SCHOOL,2.51077E+11,27,25,-71.7158,42.2956,0,0,292
BEATRICE H WOOD ELEMENTARY,2.50969E+11,21,25,-71.3023,42.0125,4,6,310
BEAVER BROOK ELEMENTARY SCHOOL,2.50165E+11,23,25,-70.9433,42.1188,1,4,646
BECKET WASHINGTON SCHOOL,2.50339E+11,3,25,-73.0829,42.3316,-1,5,108
BEDFORD HIGH,2.5024E+11,17,25,-71.285,42.4914,9,12,902
BEEBE,2.50717E+11,17,25,-71.0791,42.4272,0,8,912
BEECHWOOD KNOLL ELEMENTARY,2.50987E+11,21,25,-71.0053,42.2694,0,5,380
BEEMAN MEMORIAL,2.50528E+11,9,25,-70.6724,42.6372,0,5,333
BEETHOVEN,2.50279E+11,25,25,-71.1557,42.2633,-1,3,314
BELCHER,2.50366E+11,13,25,-72.5839,42.163,0,2,306
BELCHERTOWN HIGH,2.50243E+11,15,25,-72.3989,42.2674,9,12,743
