School,ID,CoNo,StNo,Long,Lat,Low,High,Students
CHARLTON STREET,2.51101E+11,27,25,-72.0227,42.0812,1,5,474
CHATHAM ELEMENTARY SCHOOL,2.50054E+11,1,25,-69.9619,41.6863,-1,4,260
CHATHAM HIGH SCHOOL,2.50054E+11,1,25,-69.9722,41.694,9,12,123
CHATHAM MIDDLE SCHOOL,2.50054E+11,1,25,-69.9722,41.694,5,8,160
CHELMSFORD HIGH,2.50351E+11,17,25,-71.3758,42.6215,9,12,1575
CHELSEA HIGH,2.50354E+11,25,25,-71.04,42.4001,9,12,1408
CHESHIRE ELEMENTARY,2.50178E+11,3,25,-73.1586,42.5639,-1,5,225
CHESTER ELEMENTARY,2.50516E+11,13,25,-72.9837,42.2803,-1,4,117
CHESTNUT HILL COMMUNITY SCHOOL,2.50243E+11,15,25,-72.4123,42.2681,4,6,557
CHESTNUT STREET MIDDLE,2.51113E+11,13,25,-72.6126,42.1173,6,8,847
CHICKERING,2.50426E+11,21,25,-71.2712,42.2513,0,5,504
CHICOPEE ACADEMY,2.50366E+11,13,25,-72.5924,42.1469,6,12,106
CHICOPEE COMPREHENSIVE HIGH SCHOOL,2.50366E+11,13,25,-72.5918,42.1771,9,12,1432
CHICOPEE HIGH,2.50366E+11,13,25,-72.5848,42.1484,9,12,1054
CHILMARK ELEMENTARY,2.50004E+11,7,25,-70.753,41.3387,0,5,62
CHOCKSETT MIDDLE SCHOOL,2.51188E+11,27,25,-71.7797,42.4138,5,8,404
CHRISTA MCAULIFFE REGIONAL CHARTER PUBLIC SCHOOL,2.50007E+11,17,25,-71.4147,42.2808,6,8,347
CHRISTOPHER COLUMBUS,2.50756E+11,17,25,-71.1019,42.4015,-1,5,478
CITY ON A HILL CHARTER PUBLIC SCHOOL,2.50003E+11,25,25,-71.0877,42.324,9,12,286
CITY ON A HILL CHARTER PUBLIC SCHOOL II,2.50055E+11,25,25,-71.0643,42.2924,9,9,106
CITY VIEW,2.51323E+11,27,25,-71.7907,42.2663,-1,6,550
CLARA BARTON,2.50927E+11,27,25,-71.869,42.1516,3,4,352
CLARA MACY ELEMENTARY,2.50246E+11,21,25,-71.48,42.1072,0,4,239
CLAREMONT ACADEMY,2.51323E+11,27,25,-71.8177,42.2542,7,12,438
CLARENCE R EDWARDS MIDDLE,2.50279E+11,25,25,-71.0676,42.3788,6,8,492
CLARK AVENUE SCHOOL,2.50354E+11,25,25,-71.031,42.396,5,8,569
CLARK ST COMMUNITY,2.51323E+11,27,25,-71.7726,42.3127,-1,6,322
CLARKE,2.51143E+11,9,25,-70.9172,42.4746,0,4,227
CLARKSBURG ELEMENTARY,2.50372E+11,3,25,-73.1035,42.7183,0,8,178
CLASSICAL HIGH,2.50711E+11,9,25,-70.985,42.4655,9,12,1498
CLAYPIT HILL SCHOOL,2.51221E+11,17,25,-71.3454,42.3723,1,5,577
CLIFFORD H MARSHALL ELEMENTARY,2.50987E+11,21,25,-70.9819,42.2436,0,4,577
CLIFFORD M GRANGER,2.5018E+11,13,25,-72.6775,42.066,0,4,297
CLINTON ELEMENTARY,2.50375E+11,27,25,-71.6883,42.416,-1,3,748
CLINTON MIDDLE SCHOOL,2.50375E+11,27,25,-71.701,42.4082,4,8,691
CLINTON SENIOR HIGH,2.50375E+11,27,25,-71.7021,42.4087,9,12,466
CLYDE F BROWN,2.50792E+11,21,25,-71.3606,42.1647,-1,4,577
CLYDE REEVES,2.5132E+11,17,25,-71.1766,42.4642,-1,5,529
COBBET ELEMENTARY,2.50711E+11,9,25,-70.955,42.4651,0,5,594
CODMAN ACADEMY CHARTER PUBLIC SCHOOL,2.50007E+11,25,25,-71.072,42.2895,9,12,194
COHASSET MIDDLE/HIGH SCHOOL,2.50378E+11,21,25,-70.8091,42.2323,6,12,785
COL JOHN ROBINSON,2.51266E+11,17,25,-71.4639,42.5698,0,2,274
COL MOSES PARKER SCHOOL,2.50351E+11,17,25,-71.3827,42.6191,5,8,711
COLD SPRING,2.50972E+11,23,25,-70.6778,41.9632,0,5,247
COLD SPRING,2.50243E+11,15,25,-72.396,42.2745,-1,0,193
COLLICOT,2.50798E+11,21,25,-71.0522,42.2536,-1,5,639
COLLINS MIDDLE,2.51038E+11,9,25,-70.9053,42.5146,6,8,618
COLONIAL PARK,2.51122E+11,17,25,-71.0949,42.4777,-1,5,219
COLRAIN CENTRAL,2.50799E+11,11,25,-72.6967,42.6759,-1,6,117
COLUMBUS PARK,2.51323E+11,27,25,-71.8333,42.2523,-1,6,462
COMMUNITY,2.50873E+11,5,25,-71.3343,41.9801,0,5,330
COMMUNITY ACADEMY,2.50279E+11,25,25,-71.1037,42.3089,9,12,67
COMMUNITY ACADEMY OF SCIENCE AND HEALTH,2.50279E+11,25,25,-71.062,42.3009,9,12,382
COMMUNITY CHARTER SCHOOL OF CAMBRIDGE,2.50009E+11,17,25,-71.0847,42.3672,7,12,377
COMMUNITY DAY ARLINGTON,2.50666E+11,9,25,-71.1746,42.7175,0,4,544
COMMUNITY DAY CHARTER PUBLIC SCHOOL - GATEWAY,2.50054E+11,9,25,-71.1855,42.6839,-1,2,160
COMMUNITY DAY CHARTER PUBLIC SCHOOL - PROSPECT,2.50003E+11,9,25,-71.1678,42.7095,-1,8,331
COMMUNITY DAY CHARTER PUBLIC SCHOOL ? R. KINGMAN W,2.50054E+11,9,25,-71.1855,42.6837,-1,2,160
COMMUNITY EDUCATION CENTER,2.50351E+11,17,25,-71.3422,42.6123,-1,-1,125
COMPREHENSIVE GRAMMAR SCHOOL,2.50774E+11,9,25,-71.1758,42.7478,-1,8,1160
CONCORD CARLISLE HIGH,2.50387E+11,17,25,-71.3467,42.4483,9,12,1228
CONCORD MIDDLE,2.50384E+11,17,25,-71.3954,42.4403,6,8,689
CONSENTINO MIDDLE SCHOOL,2.50597E+11,9,25,-71.1008,42.7672,0,8,933
CONSERVATORY LAB CHARTER SCHOOL,2.50006E+11,25,25,-71.153,42.3522,-1,7,312
CONVERSE MIDDLE,2.5093E+11,13,25,-72.3255,42.1603,5,7,369
CONWAY GRAMMAR,2.5039E+11,11,25,-72.6731,42.5092,-1,6,172
CORNELIUS M CALLAHAN,2.50906E+11,21,25,-71.1907,42.1955,1,5,232
COTTAGE STREET,2.51062E+11,21,25,-71.1717,42.1188,0,5,515
COUNTRY,2.51275E+11,17,25,-71.2963,42.3633,-1,3,334
COUNTRYSIDE,2.50861E+11,17,25,-71.2024,42.3131,0,5,454
COVE ELEMENTARY,2.50264E+11,9,25,-70.858,42.5562,-1,5,519
COWING EARLY CHILDHOOD,2.51251E+11,13,25,-72.6207,42.1055,-1,-1,74
CRANEVILLE,2.50339E+11,3,25,-73.1769,42.4755,0,5,432
CROCKER ELEMENTARY,2.50489E+11,27,25,-71.8066,42.604,-1,4,580
CROCKER FARM ELEMENTARY,2.50189E+11,15,25,-72.5175,42.3473,-1,6,435
CROSBY,2.50963E+11,3,25,-73.2732,42.4492,-1,5,401
CROWELL,2.50597E+11,9,25,-71.054,42.7667,0,0,87
CUNNIFF,2.51218E+11,17,25,-71.1993,42.3766,-1,5,307
CUNNINGHAM SCHOOL,2.50798E+11,21,25,-71.0532,42.2531,0,5,493
CURLEY K-8 SCHOOL,2.50279E+11,25,25,-71.1131,42.3185,-1,8,847
CURTIS GUILD,2.50279E+11,25,25,-71.0041,42.3885,0,5,318
CURTIS-TUFTS,2.50756E+11,17,25,-71.107,42.4023,9,12,22
CUSHING ELEMENTARY,2.51056E+11,23,25,-70.7688,42.2039,0,6,420
CUTLER SCHOOL,2.50567E+11,9,25,-70.878,42.6212,0,5,279
CUTTYHUNK ELEMENTARY,2.50534E+11,7,25,-70.9316,41.4229,3,4,2
CYRIL K. BRENNAN MIDDLE SCHOOL,2.50219E+11,5,25,-71.3105,41.9272,5,8,580
CYRUS E DALLIN,2.50198E+11,17,25,-71.1879,42.4178,0,5,467
CYRUS PEIRCE,2.50825E+11,19,25,-70.0984,41.2693,6,8,347
DALE STREET,2.50753E+11,21,25,-71.3114,42.1923,4,5,403
DANIEL B BRUNTON,2.51113E+11,13,25,-72.4923,42.0973,-1,5,515
DANIEL BUTLER,2.50249E+11,17,25,-71.1878,42.3861,0,4,369
DANIEL FEENEY PRESCHOOL CENTER,2.51197E+11,21,25,-71.2678,42.1538,-1,-1,77
DANIEL L JOYCE MIDDLE SCHOOL,2.5132E+11,17,25,-71.1757,42.4774,6,8,551
DANIEL P HURLD,2.5132E+11,17,25,-71.1669,42.4845,0,5,206
DANIEL WEBSTER,2.50735E+11,23,25,-70.6866,42.0978,-1,5,418
DANVERS HIGH,2.50399E+11,9,25,-70.9317,42.5827,9,12,1043
DARTMOUTH HIGH,2.50402E+11,5,25,-70.9784,41.5939,9,12,1110
DARTMOUTH MIDDLE,2.50402E+11,5,25,-70.9646,41.627,6,8,970
DAVID A ELLIS,2.50279E+11,25,25,-71.093,42.316,-1,5,396
DAVID J. QUINN MIDDLE SCHOOL,2.50639E+11,17,25,-71.5634,42.4027,5,7,688
DAVID MINDESS,2.5021E+11,17,25,-71.4601,42.2634,3,5,607
DAVID PROUTY HIGH,2.5E+11,27,25,-71.9775,42.2497,9,12,473
DAVIS HILL ELEMENTARY,2.51188E+11,27,25,-71.8586,42.357,0,5,490
DAVIS THAYER,2.50501E+11,21,25,-71.402,42.0842,0,5,320
DAWSON,2.51188E+11,27,25,-71.8513,42.3374,0,5,466
DAY ELEMENTARY,2.51266E+11,17,25,-71.4794,42.5893,3,5,400
DEAN S LUCE,2.5033E+11,21,25,-71.1336,42.1603,0,5,582
DEARBORN,2.50279E+11,25,25,-71.078,42.3285,6,9,258
DEDHAM HIGH,2.50405E+11,21,25,-71.162,42.2455,9,12,767
DEDHAM MIDDLE SCHOOL,2.50405E+11,21,25,-71.1648,42.2449,6,8,658
DEER HILL,2.50378E+11,21,25,-70.8163,42.2376,3,5,439
DEERFIELD ELEMENTARY,2.50408E+11,11,25,-72.6051,42.4813,-1,6,443
DEERFIELD SCHOOL,2.51281E+11,21,25,-71.2195,42.2262,0,5,254
DELANEY,2.51329E+11,21,25,-71.3264,42.061,-1,3,651
DENNETT ELEMENTARY,2.50978E+11,23,25,-70.7978,41.9725,0,6,237
DENNIS C HALEY,2.50279E+11,25,25,-71.1075,42.2866,-1,6,325
DENNIS-YARMOUTH REGIONAL HIGH,2.50414E+11,1,25,-70.1942,41.6773,8,12,969
DEVENS SCHOOL,2.50477E+11,17,25,-71.0558,42.4083,1,12,35
DEXTER PARK,2.50918E+11,11,25,-72.3109,42.5975,3,5,169
DIGHTON ELEMENTARY,2.5042E+11,5,25,-71.1168,41.8392,0,4,423
DIGHTON MIDDLE SCHOOL,2.5042E+11,5,25,-71.12,41.8347,5,8,396
DIGHTON-REHOBOTH REGIONAL HIGH SCHOOL,2.5042E+11,5,25,-71.1971,41.8521,9,12,943
DIMAN REGIONAL VOCATIONAL TECHNICAL HIGH,2.50549E+11,5,25,-71.1249,41.6996,9,12,1407
DISCOVERY SCHOOL AT FOUR CORNERS,2.50549E+11,11,25,-72.5889,42.6088,0,3,224
DOHERTY MEMORIAL HIGH,2.51323E+11,27,25,-71.8204,42.2693,9,12,1337
DOHERTY MIDDLE,2.50195E+11,9,25,-71.1347,42.6543,6,8,569
DOLBEARE,2.51191E+11,17,25,-71.0657,42.5186,-1,4,405
DONALD MCKAY,2.50279E+11,25,25,-71.0342,42.3692,0,8,681
DONALD P TIMONY GRAMMAR,2.50774E+11,9,25,-71.1723,42.7307,-1,8,1423
DONALD ROSS,2.50294E+11,21,25,-70.9868,42.2288,0,5,297
DORCHESTER ACADEMY,2.50279E+11,25,25,-71.0696,42.281,9,12,398
DORCHESTER COLLEGIATE ACADEMY CHARTER,2.50052E+11,25,25,-71.0635,42.3112,4,8,195
DOROTHY L BECKWITH,2.5042E+11,5,25,-71.2558,41.8476,5,8,597
DOUGLAS,2.50168E+11,17,25,-71.4714,42.482,0,6,478
DOUGLAS EARLY CHILDHOOD CENTER,2.50423E+11,27,25,-71.7115,42.0687,0,0,82
DOUGLAS ELEMENTARY SCHOOL,2.50423E+11,27,25,-71.7034,42.0723,4,5,262
DOUGLAS HIGH SCHOOL,2.50423E+11,27,25,-71.7,42.0676,8,12,573
DOUGLAS MACARTHUR ELEMENTARY SCHOOL,2.512E+11,17,25,-71.25,42.4042,0,5,365
DOUGLAS MIDDLE SCHOOL,2.50423E+11,27,25,-71.7032,42.072,6,7,274
DOUGLAS PRIMARY SCHOOL,2.50423E+11,27,25,-71.7072,42.071,1,3,405
DOUGLAS WAYBRIGHT,2.5105E+11,9,25,-71.0137,42.4627,0,5,232
DOVER-SHERBORN REGIONAL HIGH,2.50429E+11,21,25,-71.3246,42.2181,9,12,642
DOVER-SHERBORN REGIONAL MIDDLE SCHOOL,2.50429E+11,21,25,-71.3233,42.2197,6,8,527
DOWNEY,2.51281E+11,21,25,-71.1761,42.2145,0,5,261
DOWNEY,2.50309E+11,23,25,-70.9936,42.0781,0,5,631
DR AN WANG SCHOOL,2.50702E+11,17,25,-71.3499,42.6489,5,8,684
DR FREDERICK N SWEETSIR,2.50945E+11,9,25,-71.0117,42.8413,-1,2,213
DR GERTRUDE BAILEY,2.50702E+11,17,25,-71.3357,42.6213,-1,4,503
DR JOHN C PAGE SCHOOL,2.50945E+11,9,25,-70.9621,42.8087,-1,6,441
DR PAUL NETTLE,2.50597E+11,9,25,-71.0601,42.7738,5,8,489
DR SAMUEL C EVELETH,2.50726E+11,9,25,-70.8793,42.4847,0,0,58
DR W ARNONE COMMUNITY SCHOOL,2.50309E+11,23,25,-71.0242,42.0801,0,5,786
DR. CATHERINE ELLISON-ROSA PARKS EARLY ED SCHOOL,2.50279E+11,25,25,-71.0918,42.2717,-1,3,194
DR. KEVIN M. HURLEY MIDDLE SCHOOL,2.51059E+11,5,25,-71.3308,41.8602,6,8,523
DR. PHILIP O. COAKLEY MIDDLE SCHOOL,2.50906E+11,21,25,-71.2108,42.1724,6,8,712
DR. WILLIAM HENDERSON,2.50279E+11,25,25,-71.0621,42.2937,-1,5,243
DRACUT SENIOR HIGH,2.50432E+11,17,25,-71.3367,42.6748,9,12,952
DRURY HIGH,2.50867E+11,3,25,-73.105,42.6592,8,12,495
DRYDEN MEMORIAL,2.51113E+11,13,25,-72.5437,42.0992,-1,5,326
DUDLEY ELEMENTARY,2.50436E+11,27,25,-71.8859,42.0573,2,4,396
DUDLEY MIDDLE SCHOOL,2.50436E+11,27,25,-71.9141,42.055,5,8,644
DUDLEY STREET NEIGHBORHOOD CHARTER SCHOOL,2.50054E+11,25,25,-71.0731,42.3236,-1,2,178
DUXBURY HIGH,2.50441E+11,23,25,-70.6784,42.05,9,12,1037
DUXBURY MIDDLE,2.50441E+11,23,25,-70.6795,42.0476,6,8,832
E ETHEL LITTLE SCHOOL,2.50882E+11,17,25,-71.1209,42.5697,-1,5,354
E J HARRINGTON,2.50711E+11,9,25,-70.9391,42.4648,-1,5,623
E N WHITE ELEMENTARY,2.50627E+11,13,25,-72.6265,42.2251,0,8,433
E SOMERVILLE COMMUNITY,2.51089E+11,17,25,-71.0872,42.3867,0,8,645
E W THURSTON MIDDLE,2.51281E+11,21,25,-71.222,42.2192,6,8,783
EAMES WAY SCHOOL,2.50735E+11,23,25,-70.7274,42.1327,0,5,321
EARLY CHILDHOOD CENTER,2.51188E+11,27,25,-71.8872,42.3618,-1,-1,138
EARLY CHILDHOOD CENTER,2.50711E+11,9,25,-70.9591,42.4598,-1,0,286
EARLY CHILDHOOD CENTER,2.50405E+11,21,25,-71.1474,42.2312,-1,0,311
EARLY CHILDHOOD CENTER,2.50732E+11,17,25,-71.5465,42.3489,-1,-1,156
EARLY CHILDHOOD CENTER,2.50762E+11,17,25,-71.0617,42.4669,-1,-1,280
EARLY COLLEGE HIGH SCHOOL,2.51113E+11,13,25,-72.6511,42.1955,11,12,31
EARLY LEARNING CENTER,2.50219E+11,5,25,-71.2788,41.9409,-1,-1,184
EAST AREA,2.51115E+11,9,25,-70.8862,42.5656,-2,-2,524.5984339
EAST BOSTON EARLY CHILDHOOD CENTER,2.50279E+11,25,25,-71.1577,42.2629,-1,3,196
EAST BOSTON HIGH,2.50279E+11,25,25,-71.035,42.3811,9,12,1373
EAST BRIDGEWATER JR./SR. HIGH SCHOOL,2.50444E+11,23,25,-70.9684,41.9905,7,12,993
EAST BROOKFIELD ELEMENTARY,2.5E+11,27,25,-72.037,42.2326,0,6,202
EAST ELEMENTARY,2.51062E+11,21,25,-71.1488,42.1146,0,5,443
EAST ELEMENTARY SCHOOL,2.50609E+11,23,25,-70.866,42.2407,-1,5,614
EAST FAIRHAVEN,2.5048E+11,5,25,-70.8613,41.6488,-1,5,437
EAST FALMOUTH ELEMENTARY,2.50486E+11,1,25,-70.5607,41.5761,-1,4,358
EAST GLOUCESTER ELEMENTARY,2.50528E+11,9,25,-70.6465,42.6104,0,5,263
EAST LONGMEADOW HIGH,2.5045E+11,13,25,-72.5243,42.0579,9,12,863
EAST MEADOW,2.5054E+11,15,25,-72.4913,42.2654,4,6,213
EAST MIDDLE SCHOOL,2.50294E+11,21,25,-70.9884,42.22,6,8,749
EAST MIDDLE SCHOOL,2.50309E+11,23,25,-71.0009,42.0852,6,8,426
EAST STREET ELEMENTARY SCHOOL,2.50705E+11,13,25,-72.4672,42.1615,-1,1,413
EAST TAUNTON ELEMENTARY,2.51152E+11,5,25,-71.0415,41.8715,0,4,646
EAST WAREHAM SCHOOL,2.51206E+11,23,25,-70.6761,41.7585,-1,-1,89
EASTFORD ROAD,2.51101E+11,27,25,-72.0396,42.0682,-1,2,288
EASTHAM ELEMENTARY,2.50453E+11,1,25,-69.9741,41.8409,-1,5,212
EASTHAMPTON HIGH,2.50459E+11,15,25,-72.6715,42.2598,9,12,455
EASTON MIDDLE SCHOOL,2.50462E+11,5,25,-71.1119,42.0584,6,8,952
EDDY ELEMENTARY,2.50297E+11,1,25,-70.0698,41.7618,3,5,224
EDGAR A HOOKS ELEMENTARY,2.50354E+11,25,25,-71.0212,42.3976,1,4,518
EDGAR B DAVIS,2.50309E+11,23,25,-70.9995,42.055,0,8,1096
EDGARTOWN ELEMENTARY,2.50909E+11,7,25,-70.5228,41.3893,-1,8,356
EDISON ACADEMY,2.50309E+11,23,25,-71.046,42.0703,9,12,238
EDISON K-8,2.50279E+11,25,25,-71.1601,42.3453,-1,8,818
EDITH C BAKER,2.50315E+11,21,25,-71.1586,42.3026,0,8,754
EDMUND HATCH BENNETT,2.51152E+11,5,25,-71.1377,41.9029,0,4,345
EDWARD A SISSON,2.50711E+11,9,25,-70.9584,42.4867,0,5,452
EDWARD DEVOTION,2.50315E+11,21,25,-71.1239,42.3446,0,8,840
EDWARD EVERETT,2.50279E+11,25,25,-71.0598,42.3137,-1,5,280
EDWARD F. LEDDY PRESCHOOL,2.51152E+11,5,25,-71.0943,41.8867,-1,-1,287
EDWARD F. PARTHUM,2.50666E+11,9,25,-71.1433,42.7187,0,4,624
EDWARD G. MOLIN ELEMENTARY SCHOOL,2.50858E+11,9,25,-70.8875,42.8087,4,5,341
EDWARD M. KENNEDY ACADEMY FOR HEALTH CAREERS (HORA,2.50005E+11,25,25,-71.0917,42.3416,9,12,331
EDWIN A JONES EARLY CHILDHOOD CENTER,2.51125E+11,21,25,-71.097,42.1233,-1,-1,84
EGREMONT,2.50963E+11,3,25,-73.2291,42.4372,0,5,516
ELBRIDGE GERRY,2.50726E+11,9,25,-70.8503,42.5064,0,1,166
ELC - WEST ZONE,2.50279E+11,25,25,-71.1069,42.3261,-1,1,90
ELEANOR N JOHNSON MIDDLE,2.51197E+11,21,25,-71.2567,42.1511,6,8,440
ELIAS BROOKINGS,2.51113E+11,13,25,-72.5663,42.099,-1,5,328
ELIHU GREENWOOD LEADERSHIP ACADEMY,2.50279E+11,25,25,-71.1175,42.2654,0,5,375
ELIOT ELEMENTARY,2.50279E+11,25,25,-71.0534,42.3663,-1,8,388
ELIZABETH CARTER BROOKS,2.50843E+11,5,25,-70.9537,41.6432,-1,5,332
ELIZABETH G LYONS ELEMENTARY,2.50993E+11,21,25,-71.0408,42.1772,0,5,312
ELIZABETH POLE,2.51152E+11,5,25,-71.0654,41.9011,0,4,672
ELIZABETH S BROWN,2.51146E+11,5,25,-71.1975,41.7481,3,5,268
ELLEN R HATHAWAY,2.50843E+11,5,25,-70.9402,41.6332,0,5,276
ELLIS MENDELL,2.50279E+11,25,25,-71.1017,42.3166,-1,5,226
ELM PARK COMMUNITY,2.51323E+11,27,25,-71.808,42.2646,-1,6,490
ELM STREET SCHOOL,2.50513E+11,27,25,-71.9824,42.574,3,5,487
ELM STREET SCHOOL,2.51197E+11,21,25,-71.2675,42.1541,0,5,424
ELMER S BAGNALL,2.50945E+11,9,25,-71.0239,42.7429,-1,6,570
ELMWOOD,2.50633E+11,17,25,-71.5393,42.2255,2,3,480
ELMWOOD STREET,2.50789E+11,27,25,-71.7729,42.1881,-1,3,637
ELSIE A HASTINGS ELEMENTARY,2.5126E+11,27,25,-71.6027,42.2789,-1,3,429
ELWYN G CAMPBELL,2.50843E+11,5,25,-70.9375,41.7016,-1,5,260
EMILY G WETHERBEE,2.50666E+11,9,25,-71.1669,42.6944,0,8,680
EMMA L MILLER ELEMENTARY SCHOOL,2.51053E+11,3,25,-72.9952,42.5694,-1,5,36
EPHRAIM CURTIS MIDDLE,2.51134E+11,17,25,-71.4333,42.3804,6,8,1022
ERNEST F UPHAM,2.51227E+11,21,25,-71.2997,42.3112,0,5,243
ERVING ELEMENTARY,2.50471E+11,11,25,-72.485,42.5892,-1,6,151
ESSEX AGRICULTURAL AND TECHNICAL INSTITUTE,2.50475E+11,9,25,-70.9772,42.5898,9,12,472
ESSEX ELEMENTARY,2.50007E+11,9,25,-70.7897,42.6321,0,5,269
EUGENE C VINING,2.50267E+11,17,25,-71.259,42.5341,0,5,203
EUGENE WRIGHT SCIENCE AND TECHNOLOGY ACADEMY,2.50354E+11,25,25,-71.0366,42.3938,5,8,503
EVERETT HIGH,2.50477E+11,17,25,-71.044,42.4147,9,12,2004
EVERETT W ROBINSON,2.50723E+11,5,25,-71.2054,42.0273,0,2,778
EXCEL ACADEMY CHARTER SCHOOL,2.50008E+11,25,25,-71.0188,42.3827,5,8,212
EXCEL ACADEMY CHARTER SCHOOL - BOSTON II,2.50053E+11,25,25,-70.9994,42.3847,5,6,112
EXCEL ACADEMY CHARTER SCHOOL - CHELSEA,2.50053E+11,25,25,-71.0437,42.3941,5,7,168
EXCEL HIGH SCHOOL,2.50279E+11,25,25,-71.0448,42.3329,9,12,550
EZRA H BAKER INNOVATION SCHOOL,2.50414E+11,1,25,-70.1525,41.6686,-1,3,398
F A CLEVELAND,2.50906E+11,21,25,-71.2195,42.1842,1,5,364
F A DAY MIDDLE,2.50861E+11,17,25,-71.2124,42.3576,6,8,940
F L OLMSTED,2.50462E+11,5,25,-71.1084,42.0563,3,5,437
FAIRHAVEN HIGH,2.5048E+11,5,25,-70.9053,41.6433,9,12,647
FAIRVIEW MIDDLE,2.50366E+11,13,25,-72.5749,42.2077,6,8,670
FALL BROOK,2.50678E+11,27,25,-71.7683,42.4962,0,5,635
FALLS,2.50873E+11,5,25,-71.3279,41.9755,0,5,261
FALMOUTH HIGH,2.50486E+11,1,25,-70.6077,41.5895,9,12,857
FANNIE E PROCTOR,2.50888E+11,27,25,-71.6525,42.302,0,5,271
FARMINGTON RIVER ELEMENTARY,2.51332E+11,3,25,-73.0961,42.2071,-1,6,130
FECTEAU-LEARY JUNIOR/SENIOR HIGH SCHOOL,2.50711E+11,9,25,-70.955,42.4647,7,12,157
FEDERAL FURNACE SCHOOL,2.50972E+11,23,25,-70.7109,41.8923,0,5,422
FEDERAL STREET SCHOOL,2.50549E+11,11,25,-72.5979,42.5915,0,3,192
FENWAY HIGH SCHOOL,2.50279E+11,25,25,-71.094,42.3473,9,12,327
FERRYWAY,2.50717E+11,17,25,-71.0595,42.4216,0,8,913
FIELD ELEMENTARY SCHOOL,2.51275E+11,17,25,-71.2953,42.3608,4,5,359
FISHER,2.51197E+11,21,25,-71.2427,42.1617,0,5,466
FISHER HILL,2.50918E+11,11,25,-72.3109,42.5991,-1,2,310
FISKE,2.50684E+11,17,25,-71.2206,42.4587,0,5,496
FITCHBURG HIGH,2.50489E+11,27,25,-71.8076,42.6215,9,12,1116
FLAGG STREET,2.51323E+11,27,25,-71.8319,42.2839,0,6,415
FLETCHER/MAYNARD ACADEMY,2.50327E+11,17,25,-71.096,42.3668,-1,5,235
FLORAL STREET SCHOOL,2.51077E+11,27,25,-71.6933,42.2838,1,4,785
FLORENCE ROCHE SCHOOL,2.5055E+11,17,25,-71.5786,42.6157,0,4,544
FLORENCE SAWYER SCHOOL,2.50831E+11,27,25,-71.6088,42.4295,-1,8,800
FOREST AVENUE ELEMENTARY,2.50639E+11,17,25,-71.545,42.3897,0,4,334
FOREST GROVE MIDDLE,2.51323E+11,27,25,-71.8129,42.2878,7,8,956
FOREST PARK MIDDLE,2.51113E+11,13,25,-72.5638,42.0864,6,8,708
FORESTDALE,2.51047E+11,1,25,-70.5046,41.697,0,8,702
FORESTDALE,2.50717E+11,17,25,-71.0596,42.43,0,8,575
FORT MEADOW EARLY CHILDHOOD CENTER,2.51263E+11,13,25,-72.7431,42.1215,-1,-1,198
FORT RIVER ELEMENTARY,2.50189E+11,15,25,-72.4987,42.3754,0,6,368
FOUR RIVERS CHARTER PUBLIC SCHOOL,2.50008E+11,11,25,-72.6218,42.5966,7,12,216
FOWLER SCHOOL,2.5075E+11,17,25,-71.4528,42.422,4,7,466
FOX HILL,2.50324E+11,17,25,-71.1888,42.5297,0,5,365
FOXBOROUGH HIGH,2.50495E+11,21,25,-71.2501,42.0546,9,12,855
FOXBOROUGH REGIONAL CHARTER SCHOOL,2.50005E+11,21,25,-71.2448,42.0573,0,12,1265
FRAMINGHAM HIGH SCHOOL,2.50498E+11,17,25,-71.4032,42.3182,9,12,2008
FRANCIS J KANE,2.50732E+11,17,25,-71.5199,42.3429,0,4,671
FRANCIS J MCGRATH ELEMENTARY,2.51323E+11,27,25,-71.8098,42.2858,-1,6,284
FRANCIS M LEAHY,2.50666E+11,9,25,-71.1616,42.7147,0,5,548
FRANCIS T BRESNAHAN ELEMENTARY,2.50858E+11,9,25,-70.8957,42.8202,1,3,492
FRANCIS W PARKER,2.50987E+11,21,25,-71.0215,42.2762,0,5,308
FRANCIS W. PARKER CHARTER ESSENTIAL SCHOOL,2.50004E+11,17,25,-71.6065,42.5486,7,12,399
FRANCIS WYMAN ELEMENTARY,2.50324E+11,17,25,-71.2152,42.5001,0,5,527
FRANK H FREEDMAN,2.51113E+11,13,25,-72.5249,42.1091,0,5,265
FRANK M SOKOLOWSKI ELEMENTARY,2.50354E+11,25,25,-71.0212,42.3976,1,4,568
FRANKLIN,2.50861E+11,17,25,-71.2285,42.3584,0,5,390
FRANKLIN,2.5087E+11,9,25,-71.1197,42.6764,0,5,543
FRANKLIN AVE,2.51263E+11,13,25,-72.7575,42.1282,0,5,245
FRANKLIN COUNTY TECHNICAL,2.50502E+11,11,25,-72.5224,42.5979,9,12,523
FRANKLIN D ROOSEVELT,2.50279E+11,25,25,-71.1239,42.2429,-1,8,472
FRANKLIN EARLY CHILDHOOD DEVELOPMENT CENTER,2.50501E+11,21,25,-71.406,42.0916,-1,-1,140
FRANKLIN HIGH,2.50501E+11,21,25,-71.4121,42.0951,9,12,1631
FREDERICK C MURPHY,2.51284E+11,21,25,-70.9608,42.2055,0,4,298
FREDERICK HARRIS,2.51113E+11,13,25,-72.5354,42.0926,-1,5,607
FREDERICK J DUTILE,2.50267E+11,17,25,-71.2943,42.5636,0,5,283
