time,age,gender,Infected_Later_Years,Wait_Until_Next_Infection_Check
978307200922-1009843200921,13-24,M,0.0001017,0.9998983
978307200922-1009843200921,13-24,F,0.0000862,0.9999138
978307200922-1009843200921,25-34,M,0.0004931,0.9995069
978307200922-1009843200921,25-34,F,0.0002286,0.9997714
978307200922-1009843200921,35-44,M,0.0003534,0.9996466
978307200922-1009843200921,35-44,F,0.0001400,0.9998600
978307200922-1009843200921,45-54,M,0.0001435,0.9998565
978307200922-1009843200921,45-54,F,0.0000544,0.9999456
978307200922-1009843200921,55-150,M,0.0000325,0.9999675
978307200922-1009843200921,55-150,F,0.0000109,0.9999891
1009843200922-1041379200921,0-12,M,0.0000079,0.9999921
1009843200922-1041379200921,0-12,F,0.0000082,0.9999918
1009843200922-1041379200921,13-24,M,0.0001778,0.9998222
1009843200922-1041379200921,13-24,F,0.0000720,0.9999280
1009843200922-1041379200921,25-34,M,0.0003166,0.9996834
1009843200922-1041379200921,25-34,F,0.0001503,0.9998497
1009843200922-1041379200921,35-44,M,0.0002852,0.9997148
1009843200922-1041379200921,35-44,F,0.0001299,0.9998701
1009843200922-1041379200921,45-54,M,0.0002331,0.9997669
1009843200922-1041379200921,45-54,F,0.0001166,0.9998834
1009843200922-1041379200921,55-150,M,0.0000722,0.9999278
1009843200922-1041379200921,55-150,F,0.0000321,0.9999679
1041379200922-1072915200921,0-12,M,0.0000086,0.9999914
1041379200922-1072915200921,0-12,F,0.0000090,0.9999910
1041379200922-1072915200921,13-24,M,0.0001689,0.9998311
1041379200922-1072915200921,13-24,F,0.0000640,0.9999360
1041379200922-1072915200921,25-34,M,0.0003068,0.9996932
1041379200922-1072915200921,25-34,F,0.0001361,0.9998639
1041379200922-1072915200921,35-44,M,0.0002784,0.9997216
1041379200922-1072915200921,35-44,F,0.0001188,0.9998812
1041379200922-1072915200921,45-54,M,0.0002203,0.9997797
1041379200922-1072915200921,45-54,F,0.0001034,0.9998966
1041379200922-1072915200921,55-150,M,0.0000676,0.9999324
1041379200922-1072915200921,55-150,F,0.0000284,0.9999716
1072915200922-1104537600921,0-12,M,0.0000077,0.9999923
1072915200922-1104537600921,0-12,F,0.0000089,0.9999911
1072915200922-1104537600921,13-24,M,0.0001695,0.9998305
1072915200922-1104537600921,13-24,F,0.0000624,0.9999376
1072915200922-1104537600921,25-34,M,0.0003124,0.9996876
1072915200922-1104537600921,25-34,F,0.0001342,0.9998658
1072915200922-1104537600921,35-44,M,0.0002856,0.9997144
1072915200922-1104537600921,35-44,F,0.0001182,0.9998818
1072915200922-1104537600921,45-54,M,0.0002199,0.9997801
1072915200922-1104537600921,45-54,F,0.0001001,0.9998999
1072915200922-1104537600921,55-150,M,0.0000669,0.9999331
1072915200922-1104537600921,55-150,F,0.0000274,0.9999726
1104537600922-1136073600921,0-12,M,0.0000079,0.9999921
1104537600922-1136073600921,0-12,F,0.0000087,0.9999913
1104537600922-1136073600921,13-24,M,0.0001788,0.9998212
1104537600922-1136073600921,13-24,F,0.0000651,0.9999349
1104537600922-1136073600921,25-34,M,0.0003328,0.9996672
1104537600922-1136073600921,25-34,F,0.0001408,0.9998592
1104537600922-1136073600921,35-44,M,0.0003169,0.9996831
1104537600922-1136073600921,35-44,F,0.0001251,0.9998749
1104537600922-1136073600921,45-54,M,0.0002290,0.9997710
1104537600922-1136073600921,45-54,F,0.0001031,0.9998969
1104537600922-1136073600921,55-150,M,0.0000690,0.9999310
1104537600922-1136073600921,55-150,F,0.0000281,0.9999719
1136073600922-1167609600921,0-12,M,0.0000100,0.9999900
1136073600922-1167609600921,0-12,F,0.0000118,0.9999882
1136073600922-1167609600921,13-24,M,0.0002807,0.9997193
1136073600922-1167609600921,13-24,F,0.0000825,0.9999175
1136073600922-1167609600921,25-34,M,0.0005245,0.9994755
1136073600922-1167609600921,25-34,F,0.0001787,0.9998213
1136073600922-1167609600921,35-44,M,0.0004860,0.9995140
1136073600922-1167609600921,35-44,F,0.0001605,0.9998395
1136073600922-1167609600921,45-54,M,0.0003552,0.9996448
1136073600922-1167609600921,45-54,F,0.0001290,0.9998710
1136073600922-1167609600921,55-150,M,0.0001058,0.9998942
1136073600922-1167609600921,55-150,F,0.0000350,0.9999650
1167609600922-1199145600921,0-12,M,0.0000117,0.9999883
1167609600922-1199145600921,0-12,F,0.0000135,0.9999865
1167609600922-1199145600921,13-24,M,0.0003460,0.9996540
1167609600922-1199145600921,13-24,F,0.0000883,0.9999117
