time,Check Vaccine Status,Terminal,Wait Until Exposure
1620000000000-1620086399999,0.0006066520000000001,0.0001,0.999293348
1620086400000-1620172799999,0.000489288,0.0001,0.999410712
1620172800000-1620259199999,0.0005374360000000001,0.0001,0.999362564
1620259200000-1620345599999,0.000571088,0.0001,0.999328912
1620345600000-1620431999999,0.000578972,0.0001,0.999321028
1620432000000-1620518399999,0.000403924,0.0001,0.999496076
1620518400000-1620604799999,0.000257592,0.0001,0.999642408
1620604800000-1620691199999,0.000441988,0.0001,0.999458012
1620691200000-1620777599999,0.000404452,0.0001,0.999495548
1620777600000-1620863999999,0.000430452,0.0001,0.999469548
1620864000000-1620950399999,0.000457488,0.0001,0.999442512
1620950400000-1621036799999,0.000507732,0.0001,0.999392268
1621036800000-1621123199999,0.000346744,0.0001,0.999553256
1621123200000-1621209599999,0.000202804,0.0001,0.999697196
1621209600000-1621295999999,0.00034388400000000003,0.0001,0.999556116
1621296000000-1621382399999,0.000333828,0.0001,0.999566172
1621382400000-1621468799999,0.000352308,0.0001,0.999547692
1621468800000-1621555199999,0.000362676,0.0001,0.999537324
1621555200000-1621641599999,0.00033572399999999997,0.0001,0.999564276
1621641600000-1621727999999,0.000237936,0.0001,0.999662064
1621728000000-1621814399999,0.00015515199999999998,0.0001,0.999744848
1621814400000-1621900799999,0.000309628,0.0001,0.999590372
1621900800000-1621987199999,0.000273404,0.0001,0.999626596
1621987200000-1622073599999,0.00028788,0.0001,0.99961212
1622073600000-1622159999999,0.00033030799999999997,0.0001,0.999569692
1622160000000-1622246399999,0.00026212,0.0001,0.99963788
1622246400000-1622332799999,0.00014419200000000002,0.0001,0.999755808
1622332800000-1622419199999,0.000080908,0.0001,0.999819092
1622419200000-1622505599999,0.00006938800000000001,0.0001,0.999830612
1622505600000-1622591999999,0.00027562400000000003,0.0001,0.999624376
1622592000000-1622678399999,0.000203584,0.0001,0.999696416
1622678400000-1622764799999,0.0002295,0.0001,0.9996705
1622764800000-1622851199999,0.000202456,0.0001,0.999697544
1622851200000-1622937599999,0.000167456,0.0001,0.999732544
1622937600000-1623023999999,0.00006481999999999999,0.0001,0.99983518
1623024000000-1623110399999,0.000185608,0.0001,0.999714392
1623110400000-1623196799999,0.00015597999999999998,0.0001,0.99974402
1623196800000-1623283199999,0.000224044,0.0001,0.999675956
1623283200000-1623369599999,0.00017476,0.0001,0.99972524
1623369600000-1623455999999,0.00029675999999999997,0.0001,0.99960324
1623456000000-1623542399999,0.00009886,0.0001,0.99980114
1623542400000-1623628799999,0.000057396000000000004,0.0001,0.999842604
1623628800000-1623715199999,0.000153132,0.0001,0.999746868
1623715200000-1623801599999,0.00013579599999999999,0.0001,0.999764204
1623801600000-1623887999999,0.00014936000000000002,0.0001,0.99975064
1623888000000-1623974399999,0.000124716,0.0001,0.999775284
1623974400000-1624060799999,0.000247488,0.0001,0.999652512
1624060800000-1624147199999,0.000102416,0.0001,0.999797584
1624147200000-1624233599999,0.000046764,0.0001,0.999853236
1624233600000-1624319999999,0.000148024,0.0001,0.999751976
1624320000000-1624406399999,0.000131876,0.0001,0.999768124
1624406400000-1624492799999,0.00014952799999999998,0.0001,0.999750472
1624492800000-1624579199999,0.000154344,0.0001,0.999745656
1624579200000-1624665599999,0.00028422800000000003,0.0001,0.999615772
1624665600000-1624751999999,0.00008780800000000001,0.0001,0.999812192
1624752000000-1624838399999,0.0000471,0.0001,0.9998529
1624838400000-1624924799999,0.00018124799999999998,0.0001,0.999718752
1624924800000-1625011199999,0.00013624,0.0001,0.99976376
1625011200000-1625097599999,0.000157868,0.0001,0.999742132
1625097600000-1625183999999,0.00017352,0.0001,0.99972648
1625184000000-1625270399999,0.00035924,0.0001,0.99954076
1625270400000-1625356799999,0.000057107999999999996,0.0001,0.999842892
1625356800000-1625443199999,0.000044420000000000005,0.0001,0.99985558
1625443200000-1625529599999,0.00006642,0.0001,0.99983358
1625529600000-1625615999999,0.000291376,0.0001,0.999608624
1625616000000-1625702399999,0.000274952,0.0001,0.999625048
1625702400000-1625788799999,0.00024121600000000002,0.0001,0.999658784
1625788800000-1625875199999,0.000579452,0.0001,0.999320548
1625875200000-1625961599999,0.000108928,0.0001,0.999791072
1625961600000-1626047999999,0.00007406,0.0001,0.99982594
1626048000000-1626134399999,0.000420468,0.0001,0.999479532
1626134400000-1626220799999,0.00031770400000000003,0.0001,0.999582296
1626220800000-1626307199999,0.00038304,0.0001,0.99951696
1626307200000-1626393599999,0.00034063999999999996,0.0001,0.99955936
1626393600000-1626479999999,0.000952916,0.0001,0.998947084
1626480000000-1626566399999,0.000156028,0.0001,0.999743972
1626566400000-1626652799999,0.000144756,0.0001,0.999755244
1626652800000-1626739199999,0.000625804,0.0001,0.999274196
1626739200000-1626825599999,0.0005130919999999999,0.0001,0.999386908
1626825600000-1626911999999,0.0006251680000000001,0.0001,0.999274832
1626912000000-1626998399999,0.00068296,0.0001,0.99921704
1626998400000-1627084799999,0.001431692,0.0001,0.998468308
1627084800000-1627171199999,0.000334044,0.0001,0.999565956
1627171200000-1627257599999,0.000158756,0.0001,0.999741244
1627257600000-1627343999999,0.0010736679999999998,0.0001,0.998826332
1627344000000-1627430399999,0.000849948,0.0001,0.999050052
1627430400000-1627516799999,0.000826288,0.0001,0.999073712
1627516800000-1627603199999,0.00093922,0.0001,0.99896078
1627603200000-1627689599999,0.002338228,0.0001,0.997561772
1627689600000-1627775999999,0.000394192,0.0001,0.999505808
1627776000000-1627862399999,0.000302072,0.0001,0.999597928
1627862400000-1627948799999,0.0015377119999999999,0.0001,0.998362288
1627948800000-1628035199999,0.001280316,0.0001,0.998619684
1628035200000-1628121599999,0.0011139639999999998,0.0001,0.998786036
1628121600000-1628207999999,0.0013195440000000002,0.0001,0.998580456
1628208000000-1628294399999,0.003063616,0.0001,0.996836384
1628294400000-1628380799999,0.0005297440000000001,0.0001,0.999370256
1628380800000-1628467199999,0.000291172,0.0001,0.999608828
1628467200000-1628553599999,0.002216492,0.0001,0.997683508
1628553600000-1628639999999,0.001283824,0.0001,0.998616176
1628640000000-1628726399999,0.0016228879999999998,0.0001,0.998277112
1628726400000-1628812799999,0.001401224,0.0001,0.998498776
1628812800000-1628899199999,0.003493552,0.0001,0.996406448
1628899200000-1628985599999,0.000513164,0.0001,0.999386836
1628985600000-1629071999999,0.000462364,0.0001,0.999437636
1629072000000-1629158399999,0.002525556,0.0001,0.997374444
1629158400000-1629244799999,0.001548828,0.0001,0.998351172
1629244800000-1629331199999,0.001655868,0.0001,0.998244132
1629331200000-1629417599999,0.0016637639999999999,0.0001,0.998236236
1629417600000-1629503999999,0.0038387440000000003,0.0001,0.996061256
1629504000000-1629590399999,0.000753116,0.0001,0.999146884
1629590400000-1629676799999,0.000402468,0.0001,0.999497532
1629676800000-1629763199999,0.0027614360000000004,0.0001,0.997138564
1629763200000-1629849599999,0.001625004,0.0001,0.998274996
1629849600000-1629935999999,0.0017799839999999999,0.0001,0.998120016
1629936000000-1630022399999,0.00193844,0.0001,0.99796156
1630022400000-1630108799999,0.003880076,0.0001,0.996019924
1630108800000-1630195199999,0.000637652,0.0001,0.999262348
1630195200000-1630281599999,0.00046227999999999997,0.0001,0.99943772
1630281600000-1630367999999,0.00310634,0.0001,0.99679366
1630368000000-1630454399999,0.00169058,0.0001,0.99820942
1630454400000-1630540799999,0.002379284,0.0001,0.997520716
1630540800000-1630627199999,0.0018400239999999998,0.0001,0.998059976
1630627200000-1630713599999,0.003616068,0.0001,0.996283932
1630713600000-1630799999999,0.0006749,0.0001,0.9992251
1630800000000-1630886399999,0.000463312,0.0001,0.999436688
1630886400000-1630972799999,0.000881016,0.0001,0.999018984
1630972800000-1631059199999,0.0031441399999999997,0.0001,0.99675586
1631059200000-1631145599999,0.002123184,0.0001,0.997776816
1631145600000-1631231999999,0.0017431600000000001,0.0001,0.99815684
