time,Check Vaccine Status,Terminal,Wait Until Exposure
1589068800000-1589155199999,0.00022595599999999998,0.0001,0.999674044
1589155200000-1589241599999,0.00023183199999999999,0.0001,0.999668168
1589241600000-1589327999999,0.00027550400000000004,0.0001,0.999624496
1589328000000-1589414399999,0.000245504,0.0001,0.999654496
1589414400000-1589500799999,0.00032220800000000004,0.0001,0.999577792
1589500800000-1589587199999,0.000297168,0.0001,0.999602832
1589587200000-1589673599999,0.00028995999999999997,0.0001,0.99961004
1589673600000-1589759999999,0.000220956,0.0001,0.999679044
1589760000000-1589846399999,0.00026900400000000004,0.0001,0.999630996
1589846400000-1589932799999,0.000252064,0.0001,0.999647936
1589932800000-1590019199999,0.00027304399999999996,0.0001,0.999626956
1590019200000-1590105599999,0.000309604,0.0001,0.999590396
1590105600000-1590191999999,0.000284156,0.0001,0.999615844
1590192000000-1590278399999,0.000253508,0.0001,0.999646492
1590278400000-1590364799999,0.00024122800000000002,0.0001,0.999658772
1590364800000-1590451199999,0.000224224,0.0001,0.999675776
1590451200000-1590537599999,0.000236252,0.0001,0.999663748
1590537600000-1590623999999,0.000222892,0.0001,0.999677108
1590624000000-1590710399999,0.00026817599999999996,0.0001,0.999631824
1590710400000-1590796799999,0.000294104,0.0001,0.999605896
1590796800000-1590883199999,0.00028394,0.0001,0.99961606
1590883200000-1590969599999,0.000228084,0.0001,0.999671916
1590969600000-1591055999999,0.000209232,0.0001,0.999690768
1591056000000-1591142399999,0.000258336,0.0001,0.999641664
1591142400000-1591228799999,0.000238584,0.0001,0.999661416
1591228800000-1591315199999,0.000260212,0.0001,0.999639788
1591315200000-1591401599999,0.00030524400000000003,0.0001,0.999594756
1591401600000-1591487999999,0.000254024,0.0001,0.999645976
1591488000000-1591574399999,0.000215396,0.0001,0.999684604
1591574400000-1591660799999,0.000211656,0.0001,0.999688344
1591660800000-1591747199999,0.00022086000000000002,0.0001,0.99967914
1591747200000-1591833599999,0.000253676,0.0001,0.999646324
1591833600000-1591919999999,0.00027833999999999997,0.0001,0.99962166
1591920000000-1592006399999,0.000298312,0.0001,0.999601688
1592006400000-1592092799999,0.000302924,0.0001,0.999597076
1592092800000-1592179199999,0.000227576,0.0001,0.999672424
1592179200000-1592265599999,0.000238224,0.0001,0.999661776
1592265600000-1592351999999,0.00028436,0.0001,0.99961564
1592352000000-1592438399999,0.000325272,0.0001,0.999574728
1592438400000-1592524799999,0.000342876,0.0001,0.999557124
1592524800000-1592611199999,0.000379004,0.0001,0.999520996
1592611200000-1592697599999,0.000387848,0.0001,0.999512152
1592697600000-1592783999999,0.00030218,0.0001,0.99959782
1592784000000-1592870399999,0.000386212,0.0001,0.999513788
1592870400000-1592956799999,0.000445424,0.0001,0.999454576
1592956800000-1593043199999,0.000431076,0.0001,0.999468924
1593043200000-1593129599999,0.00048452,0.0001,0.99941548
1593129600000-1593215999999,0.00055268,0.0001,0.99934732
1593216000000-1593302399999,0.000496584,0.0001,0.999403416
1593302400000-1593388799999,0.000489424,0.0001,0.999410576
1593388800000-1593475199999,0.000496212,0.0001,0.999403788
1593475200000-1593561599999,0.00055774,0.0001,0.99934226
1593561600000-1593647999999,0.00062262,0.0001,0.99927738
1593648000000-1593734399999,0.000680472,0.0001,0.999219528
1593734400000-1593820799999,0.000617,0.0001,0.999283
1593820800000-1593907199999,0.0005490040000000001,0.0001,0.999350996
1593907200000-1593993599999,0.0006097279999999999,0.0001,0.999290272
1593993600000-1594079999999,0.00051792,0.0001,0.99938208
1594080000000-1594166399999,0.0007288479999999999,0.0001,0.999171152
1594166400000-1594252799999,0.000722336,0.0001,0.999177664
1594252800000-1594339199999,0.000751052,0.0001,0.999148948
1594339200000-1594425599999,0.000817712,0.0001,0.999082288
1594425600000-1594511999999,0.000721084,0.0001,0.999178916
1594512000000-1594598399999,0.0007019919999999999,0.0001,0.999198008
1594598400000-1594684799999,0.000708048,0.0001,0.999191952
1594684800000-1594771199999,0.0008176,0.0001,0.9990824
1594771200000-1594857599999,0.000818144,0.0001,0.999081856
1594857600000-1594943999999,0.000911524,0.0001,0.998988476
1594944000000-1595030399999,0.000867932,0.0001,0.999032068
1595030400000-1595116799999,0.000751376,0.0001,0.999148624
1595116800000-1595203199999,0.0007263840000000001,0.0001,0.999173616
1595203200000-1595289599999,0.0007462079999999999,0.0001,0.999153792
1595289600000-1595375999999,0.000774504,0.0001,0.999125496
1595376000000-1595462399999,0.000848024,0.0001,0.999051976
1595462400000-1595548799999,0.0008223719999999999,0.0001,0.999077628
1595548800000-1595635199999,0.0008809320000000001,0.0001,0.999019068
1595635200000-1595721599999,0.0007803920000000001,0.0001,0.999119608
1595721600000-1595807999999,0.0006586319999999999,0.0001,0.999241368
1595808000000-1595894399999,0.000682264,0.0001,0.999217736
1595894400000-1595980799999,0.000797944,0.0001,0.999102056
1595980800000-1596067199999,0.0008635359999999999,0.0001,0.999036464
1596067200000-1596153599999,0.000810608,0.0001,0.999089392
1596153600000-1596239999999,0.0008256040000000001,0.0001,0.999074396
1596240000000-1596326399999,0.000675236,0.0001,0.999224764
1596326400000-1596412799999,0.000547516,0.0001,0.999352484
1596412800000-1596499199999,0.000546696,0.0001,0.999353304
1596499200000-1596585599999,0.000706188,0.0001,0.999193812
1596585600000-1596671999999,0.000654412,0.0001,0.999245588
1596672000000-1596758399999,0.000713072,0.0001,0.999186928
1596758400000-1596844799999,0.000712544,0.0001,0.999187456
