time,age,gender,Infected_Early_Years,Wait_Until_Next_Infection_Check
1514764800922-1546300800921,25-34,M,0.000170000,0.999830000
1514764800922-1546300800921,25-34,F,0.000036000,0.999964000
1514764800922-1546300800921,35-44,M,0.000144000,0.999856000
1514764800922-1546300800921,35-44,F,0.000053000,0.999947000
1514764800922-1546300800921,45-54,M,0.000136000,0.999864000
1514764800922-1546300800921,45-54,F,0.000051000,0.999949000
1514764800922-1546300800921,55-150,M,0.000053000,0.999947000
1514764800922-1546300800921,55-150,F,0.000018000,0.999982000
1546300800922-1577836800921,0-12,M,0.000000787,0.999999213
1546300800922-1577836800921,0-12,F,0.000000822,0.999999178
1546300800922-1577836800921,13-24,M,0.000035000,0.999965000
1546300800922-1577836800921,13-24,F,0.000007000,0.999993000
1546300800922-1577836800921,25-34,M,0.000167000,0.999833000
1546300800922-1577836800921,25-34,F,0.000032000,0.999968000
1546300800922-1577836800921,35-44,M,0.000139000,0.999861000
1546300800922-1577836800921,35-44,F,0.000052000,0.999948000
1546300800922-1577836800921,45-54,M,0.000120000,0.999880000
1546300800922-1577836800921,45-54,F,0.000043000,0.999957000
1546300800922-1577836800921,55-150,M,0.000055000,0.999945000
1546300800922-1577836800921,55-150,F,0.000018000,0.999982000
