time,age,gender,Infected_Early_Years,Wait_Until_Next_Infection_Check
694224000922-725846400921,35-44,M,0.000750870,0.999249130
694224000922-725846400921,35-44,F,0.000114656,0.999885344
694224000922-725846400921,45-54,M,0.000378879,0.999621121
694224000922-725846400921,45-54,F,0.000056408,0.999943592
694224000922-725846400921,55-150,M,0.000099107,0.999900893
694224000922-725846400921,55-150,F,0.000011711,0.999988289
725846400922-757382400921,0-12,M,0.000018448,0.999981552
725846400922-757382400921,0-12,F,0.000021000,0.999979000
725846400922-757382400921,13-24,M,0.000140875,0.999859125
725846400922-757382400921,13-24,F,0.000019351,0.999980649
725846400922-757382400921,25-34,M,0.001629529,0.998370471
725846400922-757382400921,25-34,F,0.000061553,0.999938447
725846400922-757382400921,35-44,M,0.001644479,0.998355521
725846400922-757382400921,35-44,F,0.000310264,0.999689736
725846400922-757382400921,45-54,M,0.000807996,0.999192004
725846400922-757382400921,45-54,F,0.000305534,0.999694466
725846400922-757382400921,55-150,M,0.000211807,0.999788193
725846400922-757382400921,55-150,F,0.000146334,0.999853666
757382400922-788918400921,0-12,M,0.000019731,0.999980269
757382400922-788918400921,0-12,F,0.000021347,0.999978653
757382400922-788918400921,13-24,M,0.000076000,0.999924000
757382400922-788918400921,13-24,F,0.000043000,0.999957000
757382400922-788918400921,25-29,M,0.000696000,0.999304000
757382400922-788918400921,25-29,F,0.000207000,0.999793000
757382400922-788918400921,30-34,M,0.001191000,0.998809000
757382400922-788918400921,30-34,F,0.000268000,0.999732000
757382400922-788918400921,35-39,M,0.001209000,0.998791000
757382400922-788918400921,35-39,F,0.000257000,0.999743000
757382400922-788918400921,40-44,M,0.001069000,0.998931000
757382400922-788918400921,40-44,F,0.000204000,0.999796000
757382400922-788918400921,45-49,M,0.000727000,0.999273000
757382400922-788918400921,45-49,F,0.000121000,0.999879000
757382400922-788918400921,50-54,M,0.000484000,0.999516000
757382400922-788918400921,50-54,F,0.000074000,0.999926000
757382400922-788918400921,55-59,M,0.000307000,0.999693000
757382400922-788918400921,55-59,F,0.000053000,0.999947000
757382400922-788918400921,60-64,M,0.000190000,0.999810000
757382400922-788918400921,60-64,F,0.000030000,0.999970000
757382400922-788918400921,65-69,M,0.000087000,0.999913000
757382400922-788918400921,65-69,F,0.000016000,0.999984000
757382400922-788918400921,70-150,M,0.000029000,0.999971000
757382400922-788918400921,70-150,F,0.000005000,0.999995000
788918400922-820454400921,0-12,M,0.000014871,0.999985129
788918400922-820454400921,0-12,F,0.000016734,0.999983266
788918400922-820454400921,13-24,M,0.000069000,0.999931000
788918400922-820454400921,13-24,F,0.000044000,0.999956000
788918400922-820454400921,25-29,M,0.000635000,0.999365000
788918400922-820454400921,25-29,F,0.000205000,0.999795000
788918400922-820454400921,30-34,M,0.001105000,0.998895000
788918400922-820454400921,30-34,F,0.000271000,0.999729000
788918400922-820454400921,35-39,M,0.001111000,0.998889000
788918400922-820454400921,35-39,F,0.000267000,0.999733000
788918400922-820454400921,40-44,M,0.000987000,0.999013000
788918400922-820454400921,40-44,F,0.000212000,0.999788000
788918400922-820454400921,45-49,M,0.000693000,0.999307000
788918400922-820454400921,45-49,F,0.000119000,0.999881000
788918400922-820454400921,50-54,M,0.000458000,0.999542000
788918400922-820454400921,50-54,F,0.000076000,0.999924000
788918400922-820454400921,55-59,M,0.000292000,0.999708000
788918400922-820454400921,55-59,F,0.000049000,0.999951000
788918400922-820454400921,60-64,M,0.000184000,0.999816000
788918400922-820454400921,60-64,F,0.000030000,0.999970000
788918400922-820454400921,65-69,M,0.000092000,0.999908000
788918400922-820454400921,65-69,F,0.000018000,0.999982000
788918400922-820454400921,70-150,M,0.000026000,0.999974000
788918400922-820454400921,70-150,F,0.000005000,0.999995000
820454400922-852076800921,0-12,M,0.000013040,0.999986960
820454400922-852076800921,0-12,F,0.000013239,0.999986761
820454400922-852076800921,13-24,M,0.000056000,0.999944000
820454400922-852076800921,13-24,F,0.000042000,0.999958000
820454400922-852076800921,25-29,M,0.000497000,0.999503000
820454400922-852076800921,25-29,F,0.000185000,0.999815000
820454400922-852076800921,30-34,M,0.000948000,0.999052000
820454400922-852076800921,30-34,F,0.000261000,0.999739000
820454400922-852076800921,35-39,M,0.000949000,0.999051000
820454400922-852076800921,35-39,F,0.000252000,0.999748000
820454400922-852076800921,40-44,M,0.000828000,0.999172000
820454400922-852076800921,40-44,F,0.000197000,0.999803000
820454400922-852076800921,45-49,M,0.000597000,0.999403000
820454400922-852076800921,45-49,F,0.000124000,0.999876000
820454400922-852076800921,50-54,M,0.000398000,0.999602000
820454400922-852076800921,50-54,F,0.000077000,0.999923000
820454400922-852076800921,55-59,M,0.000259000,0.999741000
820454400922-852076800921,55-59,F,0.000051000,0.999949000
820454400922-852076800921,60-64,M,0.000154000,0.999846000
820454400922-852076800921,60-64,F,0.000029000,0.999971000
820454400922-852076800921,65-69,M,0.000086000,0.999914000
820454400922-852076800921,65-69,F,0.000016000,0.999984000
820454400922-852076800921,70-150,M,0.000029000,0.999971000
820454400922-852076800921,70-150,F,0.000005000,0.999995000
852076800922-883612800921,0-12,M,0.000009721,0.999990279
852076800922-883612800921,0-12,F,0.000008646,0.999991354
852076800922-883612800921,13-24,M,0.000045000,0.999955000
852076800922-883612800921,13-24,F,0.000034000,0.999966000
852076800922-883612800921,25-29,M,0.000386000,0.999614000
852076800922-883612800921,25-29,F,0.000155000,0.999845000
