STATE,ST,TIMEZONE,TZ
Alabama,AL,Central Standard Time,CST
Alaska,AK,Alaska Standard Time,AKST
Arizona,AZ,Mountain Standard Time,MST
Arkansas,AR,Central Standard Time,CST
California,CA,Pacific Standard Time,PST
Colorado,CO,Mountain Standard Time,MST
Connecticut,CT,Eastern Standard Time,EST
Delaware,DE,Eastern Standard Time,EST
District of Columbia,DC,Eastern Standard Time,EST
Florida,FL,Eastern Standard Time,EST
Georgia,GA,Eastern Standard Time,EST
Hawaii,HI,Hawaii-Aleutian Standard Time,HST
Idaho,ID,Mountain Standard Time,MST
Illinois,IL,Central Standard Time,CST
Indiana,IN,Eastern Standard Time,EST
Iowa,IA,Central Standard Time,CST
Kansas,KS,Central Standard Time,CST
Kentucky,KY,Central Standard Time,CST
Louisiana,LA,Central Standard Time,CST
Maine,ME,Eastern Standard Time,EST
Maryland,MD,Eastern Standard Time,EST
Massachusetts,MA,Eastern Standard Time,EST
Michigan,MI,Eastern Standard Time,EST
Minnesota,MN,Central Standard Time,CST
Mississippi,MS,Central Standard Time,CST
Missouri,MO,Central Standard Time,CST
Montana,MT,Mountain Standard Time,MST
Nebraska,NE,Central Standard Time,CST
Nevada,NV,Pacific Standard Time,PST
New Hampshire,NH,Eastern Standard Time,EST
New Jersey,NJ,Eastern Standard Time,EST
New Mexico,NM,Mountain Standard Time,MST
New York,NY,Eastern Standard Time,EST
North Carolina,NC,Eastern Standard Time,EST
North Dakota,ND,Central Standard Time,CST
Ohio,OH,Eastern Standard Time,EST
Oklahoma,OK,Central Standard Time,CST
Oregon,OR,Pacific Standard Time,PST
Pennsylvania,PA,Eastern Standard Time,EST
Rhode Island,RI,Eastern Standard Time,EST
South Carolina,SC,Eastern Standard Time,EST
South Dakota,SD,Mountain Standard Time,MST
Tennessee,TN,Central Standard Time,CST
Texas,TX,Central Standard Time,CST
Utah,UT,Mountain Standard Time,MST
Vermont,VT,Eastern Standard Time,EST
Virginia,VA,Eastern Standard Time,EST
Washington,WA,Pacific Standard Time,PST
District of Columbia,DC,Eastern Standard Time,EST
West Virginia,WV,Eastern Standard Time,EST
Wisconsin,WI,Central Standard Time,CST
Wyoming,WY,Mountain Standard Time,MST
