FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS
E06000059,175,Dorset,SW,South West,0.1425,0.196,0.025,0.137
E10000008,176,Devon,SW,South West,0.1152,0.196,0.023,0.1395
E06000066,177,Somerset,SW,South West,0.1122,0.196,0.026,0.199
E10000013,178,Gloucestershire,SW,South West,0.1459,0.196,0.022,0.123
E06000052,179,Cornwall,SW,South West,0.0949,0.196,0.027,0.15
E06000054,180,Wiltshire,SW,South West,0.1415,0.196,0.023,0.131
E06000023,181,Bristol,SW,South West,0.1191,0.196,0.036,0.262
