ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,MIXED,BLACK,ASIAN,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
129,115,Long Ashton,South West,5633,Somerset,560631,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
130,117,Hayle,South West,8839,Cornwall,570300,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
131,115,Portishead,South West,26535,Somerset,560631,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
132,116,Wotton-under-Edge,South West,5786,Gloucestershire,633558,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
133,114,Dawlish,South West,13355,Devon,746399,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
134,118,Wootton Bassett,South West,12943,Wiltshire,510400,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
135,115,Peasedown St John ,South West,6788,Somerset,560631,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
136,115,Ilminster,South West,6018,Somerset,560631,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
137,114,Okehampton ,South West,8805,Devon,746399,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
138,117,Bodmin,South West,16000,Cornwall,570300,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
